empno,ename,job,mgr,hiredate,salary,commission,deptnum
7369,SMITH,CLERK,7902,1993-06-13,800.00,0.00,20
7499,ALLEN,SALESMAN,7698,1998-08-15,1600.00,300.00,30
7521,WARD,SALESMAN,7698,1996-03-26,1250.00,500.00,30
7566,JONES,MANAGER,7839,1995-10-31,2975.00,NULL,20
7654,MARTIN,SALESMAN,7698,1998-12-05,1250.00,1400.00,30
7698,BLAKE,MANAGER,7839,1992-06-11,2850.00,NULL,30
7782,CLARK,MANAGER,7839,1993-05-14,2450.00,NULL,10
7788,SCOTT,ANALYST,7566,1996-03-05,3000.00,NULL,20
7839,KING,PRESIDENT,NULL,1990-06-09,5000.00,0.00,10
7844,TURNER,SALESMAN,7698,1995-06-04,1500.00,0.00,30
7876,ADAMS,CLERK,7788,1999-06-04,1100.00,NULL,20
7900,JAMES,CLERK,7698,2000-06-23,950.00,NULL,30
7902,FORD,ANALYST,7566,1997-12-05,3000.00,NULL,20
7934,MILLER,CLERK,7782,2000-01-21,1300.00,NULL,10
